X,Y,Z,SignedDistance
329585.45309507,7744833.11701129,121.972530158012,-26.2
329585.826660721,7744833.14313354,121.641220133904,-25.7
329586.200226372,7744833.1692558,121.309910109796,-25.2
329586.573792023,7744833.19537805,120.978600085688,-24.7
329586.947357674,7744833.22150031,120.647290061581,-24.2
329587.320923326,7744833.24762256,120.315980037473,-23.7
329587.694488977,7744833.27374482,119.984670013365,-23.2
329588.068054628,7744833.29986707,119.653359989257,-22.7
329588.441620279,7744833.32598933,119.322049965149,-22.2
329588.81518593,7744833.35211158,118.990739941041,-21.7
329589.188751581,7744833.37823384,118.659429916933,-21.2
329589.562317232,7744833.40435609,118.328119892825,-20.7
329589.935882884,7744833.43047835,117.996809868718,-20.2
329590.309448535,7744833.4566006,117.66549984461,-19.7
329590.683014186,7744833.48272286,117.334189820502,-19.2
329591.056579837,7744833.50884511,117.002879796394,-18.7
329591.430145488,7744833.53496737,116.671569772286,-18.2
329591.803711139,7744833.56108962,116.340259748178,-17.7
329592.17727679,7744833.58721188,116.00894972407,-17.2
329592.550842442,7744833.61333413,115.677639699962,-16.7
329592.924408093,7744833.63945639,115.346329675855,-16.2
329593.297973744,7744833.66557864,115.015019651747,-15.7
329593.671539395,7744833.6917009,114.683709627639,-15.2
329594.045105046,7744833.71782315,114.352399603531,-14.7
329594.418670697,7744833.74394541,114.021089579423,-14.2
329594.792236348,7744833.77006766,113.689779555315,-13.7
329595.165802,7744833.79618992,113.358469531207,-13.2
329595.539367651,7744833.82231217,113.0271595071,-12.7
329595.912933302,7744833.84843443,112.695849482992,-12.2
329596.286498953,7744833.87455668,112.364539458884,-11.7
329596.660064604,7744833.90067894,112.033229434776,-11.2
329597.033630255,7744833.92680119,111.701919410668,-10.7
329597.407195907,7744833.95292345,111.37060938656,-10.2
329597.780761558,7744833.9790457,111.039299362452,-9.7
329598.154327209,7744834.00516796,110.707989338344,-9.2
329598.52789286,7744834.03129021,110.376679314237,-8.7
329598.901458511,7744834.05741247,110.045369290129,-8.2
329599.275024162,7744834.08353472,109.714059266021,-7.7
329599.648589813,7744834.10965698,109.382749241913,-7.2
329600.022155465,7744834.13577923,109.051439217805,-6.7
329600.395721116,7744834.16190149,108.720129193697,-6.2
329600.769286767,7744834.18802374,108.388819169589,-5.7
329601.142852418,7744834.214146,108.057509145482,-5.2
329601.516418069,7744834.24026825,107.726199121374,-4.7
329601.88998372,7744834.26639051,107.394889097266,-4.2
329602.263549371,7744834.29251276,107.063579073158,-3.7
329602.637115023,7744834.31863502,106.73226904905,-3.2
329603.010680674,7744834.34475727,106.400959024942,-2.7
329603.384246325,7744834.37087953,106.069649000834,-2.2
329603.757811976,7744834.39700178,105.738338976726,-1.7
329604.131377627,7744834.42312404,105.407028952619,-1.2
329604.504943278,7744834.44924629,105.075718928511,-0.7
329604.766439234,7744834.46753187,104.843801911635,-0.35
329605.02793519,7744834.48581745,104.61188489476,0
329605.513570536,7744834.51977638,104.181181863419,0.65
329605.999205883,7744834.55373531,103.750478832079,1.3
329398.27,7745175.99,404.32,31.049
329399.273927321,7745175.99,402.590222576839,29.319
329400.283494784,7745175.99450159,400.863742837404,27.621
329401.294942294,7745176.00050371,399.138362325879,25.965
329402.30435205,7745176.00684397,397.411795003607,24.362
329403.307648548,7745176.01419865,395.681667249093,22.827
329404.310945045,7745176.02155333,393.951539494578,21.368
329405.309189612,7745176.0346115,392.218531948567,20.007
329406.305750201,7745176.04957083,390.484564472057,18.763
329407.30156228,7745176.06391187,388.75016277544,17.658
329408.295128826,7745176.07639805,387.014458418498,16.723
329409.288695371,7745176.08888424,385.278754061556,15.985
329410.269555819,7745176.11054653,383.535956060904,15.486
329411.246180902,7745176.13526753,381.790793512347,15.239
329412.224081887,7745176.16066381,380.046357541439,15.25
329413.205810579,7745176.18808598,378.304101303472,15.434
329414.187539272,7745176.21550815,376.561845065506,15.752
329415.170822288,7745176.24439148,374.820489709274,15.995
329416.154623411,7745176.27376187,373.079434646954,16.024
329417.140124877,7745176.30647242,371.339414093304,16.298
329418.130727371,7745176.3492034,369.602497065664,16.8
329419.121329866,7745176.39193438,367.865580038023,17.518
329420.127271113,7745176.44129585,366.137712776336,18.409
329421.138325277,7745176.49286748,364.412862103301,19.461
329422.1583513,7745176.54613366,362.693452110189,20.645
329423.205292904,7745176.60448349,360.990364156847,20.993
329424.252234507,7745176.66283332,359.287276203506,18.995
329425.324400517,7745176.72627899,357.600229026148,16.997
329426.404974662,7745176.79142328,355.918528774117,14.998
329427.49447852,7745176.85960043,354.242832421642,12.999
329428.610771516,7745176.93687615,352.585147767832,10.999
329429.727064512,7745177.01415187,350.927463114023,9
329430.870022987,7745177.0960011,349.288381884965,7
329432.021869957,7745177.17937483,347.655501797492,5
329433.178695331,7745177.26274917,346.026179408337,3
329434.057515772,7745177.32528131,344.812192437685,1.5
329434.936336212,7745177.38781344,343.598205467034,0
329435.229276359,7745177.40865749,343.193543143483,-0.5
329435.522216506,7745177.42950153,342.788880819933,-1
329435.815156653,7745177.45034558,342.384218496382,-1.5
329436.106712569,7745177.47170495,341.978584517222,-2
329436.398268486,7745177.49306431,341.572950538062,-2.5
329436.689824402,7745177.51442368,341.167316558902,-3
329436.981380318,7745177.53578305,340.761682579741,-3.5
329437.272936235,7745177.55714242,340.356048600581,-4
329437.564492151,7745177.57850179,339.950414621421,-4.5
329437.856048067,7745177.59986116,339.54478064226,-5
329438.147603984,7745177.62122052,339.1391466631,-5.5
329438.4391599,7745177.64257989,338.73351268394,-6
329438.730715816,7745177.66393926,338.327878704779,-6.5
329439.019327284,7745177.68366542,337.920062203042,-7
329439.307938752,7745177.70339159,337.512245701305,-7.5
329439.59655022,7745177.72311775,337.104429199568,-8
329439.885161688,7745177.74284391,336.696612697831,-8.5
329440.173773156,7745177.76257007,336.288796196093,-9
329440.462384624,7745177.78229624,335.880979694356,-9.5
329440.750996092,7745177.8020224,335.473163192619,-10
329441.039607559,7745177.82174856,335.065346690882,-10.5
329441.328219027,7745177.84147473,334.657530189145,-11
329441.616830495,7745177.86120089,334.249713687408,-11.5
329441.903782213,7745177.8801093,333.8406890136,-12
329442.190733931,7745177.8990177,333.431664339792,-12.5
329442.477685649,7745177.91792611,333.022639665984,-13
329442.764637367,7745177.93683452,332.613614992176,-13.5
329443.051589084,7745177.95574292,332.204590318368,-14
329443.338540802,7745177.97465133,331.79556564456,-14.5
329443.62549252,7745177.99355974,331.386540970752,-15
329443.912444238,7745178.01246814,330.977516296945,-15.5
329444.199395956,7745178.03137655,330.568491623137,-16
329444.486347674,7745178.05028496,330.159466949329,-16.5
329444.775564367,7745178.06949471,329.752054762782,-17
329445.06478106,7745178.08870446,329.344642576235,-17.5
329445.353997754,7745178.10791421,328.937230389688,-18
329445.643214447,7745178.12712396,328.529818203141,-18.5
329445.93243114,7745178.14633372,328.122406016594,-19
329446.221647833,7745178.16554347,327.714993830047,-19.5
329446.510864527,7745178.18475322,327.3075816435,-20
329446.80008122,7745178.20396297,326.900169456953,-20.5
329447.089297913,7745178.22317272,326.492757270406,-21
329447.378514607,7745178.24238247,326.085345083859,-21.5
329447.670393304,7745178.26417526,325.679966371508,-22
329447.962272002,7745178.28596804,325.274587659157,-22.5
329448.2541507,7745178.30776083,324.869208946806,-23
329448.546029397,7745178.32955361,324.463830234455,-23.5
329448.837908095,7745178.35134639,324.058451522104,-24
329449.129786793,7745178.37313918,323.653072809753,-24.5
329449.42166549,7745178.39493196,323.247694097402,-25
329449.713544188,7745178.41672475,322.842315385051,-25.5
329450.005422885,7745178.43851753,322.4369366727,-26
329450.297301583,7745178.46031032,322.031557960349,-26.5
329450.58664002,7745178.4827769,321.624398874187,-27
329450.875978457,7745178.50524348,321.217239788025,-27.5
329451.165316895,7745178.52771006,320.810080701862,-28
329451.454655332,7745178.55017665,320.4029216157,-28.07
329451.743993769,7745178.57264323,319.995762529538,-27.804
329452.033332206,7745178.59510981,319.588603443376,-27.544
329452.322670643,7745178.61757639,319.181444357213,-27.291
329452.61200908,7745178.64004298,318.774285271051,-27.045
329452.901347518,7745178.66250956,318.367126184889,-26.806
329453.190685955,7745178.68497614,317.959967098727,-26.574
329453.476890742,7745178.70729991,317.550591392323,-26.318
329453.763095529,7745178.72962368,317.14121568592,-26.05
329454.049300317,7745178.75194745,316.731839979517,-25.79
329454.335505104,7745178.77427122,316.322464273114,-25.537
329454.621709891,7745178.79659499,315.913088566711,-25.291
329454.907914679,7745178.81891876,315.503712860308,-25.052
329455.194119466,7745178.84124253,315.094337153905,-24.822
329455.480324253,7745178.8635663,314.684961447502,-24.599
329455.766529041,7745178.88589007,314.275585741099,-24.385
329456.052733828,7745178.90821384,313.866210034696,-24.179
329456.337749516,7745178.9301446,313.455984365539,-23.983
329456.622765203,7745178.95207537,313.045758696382,-23.796
329456.90778089,7745178.97400613,312.635533027225,-23.618
329457.192796578,7745178.99593689,312.225307358068,-23.449
329457.477812265,7745179.01786765,311.81508168891,-23.29
329457.762827952,7745179.03979841,311.404856019753,-23.141
329458.04784364,7745179.06172918,310.994630350596,-23.001
329458.332859327,7745179.08365994,310.584404681439,-22.872
329458.617875014,7745179.1055907,310.174179012282,-22.753
329458.902890702,7745179.12752146,309.763953343125,-22.644
329459.18637513,7745179.14878701,309.352633084114,-22.548
329459.469859559,7745179.17005255,308.941312825104,-22.462
329459.753343987,7745179.1913181,308.529992566094,-22.387
329460.036828415,7745179.21258364,308.118672307083,-22.324
329460.320312844,7745179.23384919,307.707352048073,-21.999
